"country","continent","region","1990","1990_male","1990_female","1995","1995_male","1995_female","2000","2000_male","2000_female","2005","2005_male","2005_female","2010","2010_male","2010_female","2015","2015_male","2015_female","2020","2020_male","2020_female","2024","2024_male","2024_female"
"Côte d'Ivoire","AFRICA","Western Africa","1822374","1992981","2157339","2308068","2458796","2609525","2760255","2880839","1079268","1182533","1282629","1375806","1468984","1562160","1655338","1729881","743106","810448","874710","932262","989812","1047365","1104917","1150958"
"Gambia","AFRICA","Western Africa","118123","150890","182514","181839","185837","192540","215659","236137","66306","82048","97138","96196","98123","101501","113766","124569","51817","68842","85376","85643","87714","91039","101893","111568"
"Ghana","AFRICA","Western Africa","164851","252879","191601","309932","337766","414744","476412","532286","83030","127423","97279","159527","180030","221026","254403","284239","81821","125456","94322","150405","157736","193718","222009","248047"
"Guinea","AFRICA","Western Africa","403621","774505","560075","233419","178762","126657","121437","117416","201260","386537","279108","113528","93267","74193","71385","69022","202361","387968","280967","119891","85495","52464","50052","48394"
"Guinea-Bissau","AFRICA","Western Africa","15368","27961","20450","20902","21391","22333","17945","15064","7689","13833","10155","10380","10463","10826","8867","7443","7679","14128","10295","10522","10928","11507","9078","7621"
"Liberia","AFRICA","Western Africa","94964","208563","151868","87217","99165","112111","87947","72423","53924","111647","82129","51197","56902","64079","50694","41746","41040","96916","69739","36020","42263","48032","37253","30677"
"Mali","AFRICA","Western Africa","160736","176187","189475","258630","341078","420504","485829","545323","82049","90871","97752","133344","173088","213218","246308","276471","78687","85316","91723","125286","167990","207286","239521","268852"
"Mauritania","AFRICA","Western Africa","111650","89562","57366","58211","84920","166552","182286","195937","57569","47015","31163","32642","48746","94070","103203","110932","54081","42547","26203","25569","36174","72482","79083","85005"
"Niger","AFRICA","Western Africa","115464","145999","122260","124509","126482","252998","348056","449236","55222","69751","58192","59194","60042","119915","162019","209118","60242","76248","64068","65315","66440","133083","186037","240118"
"Nigeria","AFRICA","Western Africa","456621","462999","487882","969714","990494","1199115","1308568","1403281","256166","258091","270211","564612","576648","657887","713678","765333","200455","204908","217671","405102","413846","541228","594890","637948"
"Saint Helena","AFRICA","Western Africa","178","117","108","163","248","377","437","492","110","70","61","85","136","251","306","344","68","47","47","78","112","126","131","148"
"Senegal","AFRICA","Western Africa","270410","287654","231901","238298","256092","266496","274929","281867","138840","147165","121492","124854","135879","141402","145591","149265","131570","140489","110409","113444","120213","125094","129338","132602"
"Sierra Leone","AFRICA","Western Africa","222148","98516","97974","146227","79265","58830","53746","49997","122898","55937","54184","76709","43622","33077","30408","28287","99250","42579","43790","69518","35643","25753","23338","21710"
"Togo","AFRICA","Western Africa","84844","101583","137968","204219","255564","277384","279936","281994","42903","50727","69112","103233","129424","139540","141807","142850","41941","50856","68856","100986","126140","137844","138129","139144"
"Kazakhstan","ASIA","Central Asia","3289058","2259955","1733374","1845637","1856870","1919920","1990268","2089797","1506704","1018105","767794","805187","793797","805755","819990","850966","1782354","1241850","965580","1040450","1063073","1114165","1170278","1238831"
"Kyrgyzstan","ASIA","Central Asia","623083","518338","389824","309399","232065","204382","199011","194816","260416","216638","162927","128064","94596","82616","80456","78760","362667","301700","226897","181335","137469","121766","118555","116056"
"Tajikistan","ASIA","Central Asia","428900","348347","299499","280466","279808","275101","276031","276777","187972","151894","131653","121403","121780","118639","119174","119496","240928","196453","167846","159063","158028","156462","156857","157281"
"Turkmenistan","ASIA","Central Asia","306500","273565","219067","213053","197979","196376","194920","193763","134174","132122","102810","101214","90634","91531","92357","91809","172326","141443","116257","111839","107345","104845","102563","101954"
"Uzbekistan","ASIA","Central Asia","1653000","1512577","1406498","1329932","1220149","1170873","1162007","1154963","723618","657490","606163","589690","558379","545721","543364","540070","929382","855087","800335","740242","661770","625152","618643","614893"
"China","ASIA","Eastern Asia","518395","610608","720915","853360","1010008","1196007","1415116","1638718","306695","361610","427157","505621","598443","665970","731953","792506","211700","248998","293758","347739","411565","530037","683163","846212"
"China, Hong Kong SAR","ASIA","Eastern Asia","2218473","2443798","2669122","2721235","2779950","2841113","2962492","3063318","1124544","1175087","1225629","1185121","1147539","1120982","1107970","1145679","1093929","1268711","1443493","1536114","1632411","1720131","1854522","1917639"
"China, Macao SAR","ASIA","Eastern Asia","205047","224929","240791","279308","318506","376066","403490","426862","96379","103660","109391","130387","146407","174589","187321","198172","108668","121269","131400","148921","172099","201477","216169","228690"
"China, Taiwan Province of China","ASIA","Eastern Asia","66378","246682","450366","548367","587646","866324","1055191","1136425","21489","138631","194678","165436","165717","296061","386509","448930","44889","108051","255688","382931","421929","570263","668682","687495"
"Dem. People's Republic of Korea","ASIA","Eastern Asia","34103","35143","36183","40097","44010","48458","49549","50439","17393","17562","17731","19749","21766","24110","24654","25097","16710","17581","18452","20348","22244","24348","24895","25342"
"Japan","ASIA","Eastern Asia","1050475","1331094","1651869","1976528","2161780","2577487","3289042","3409529","528160","661549","784918","923687","976490","1202757","1622963","1719879","522315","669545","866951","1052841","1185290","1374730","1666079","1689650"
"Mongolia","ASIA","Eastern Asia","6718","7424","8206","11477","16062","19886","21345","22589","3419","3959","4564","7577","11880","13284","14263","15094","3299","3465","3642","3900","4182","6602","7082","7495"
"Republic of Korea","ASIA","Eastern Asia","18499","52719","144426","231744","566098","1312172","1723389","1811507","10019","30590","86505","153783","315024","757875","967535","961477","8480","22129","57921","77961","251074","554297","755854","850030"
"Afghanistan","ASIA","Southern Asia","57686","71522","75917","87314","102276","339432","144098","98110","32558","39105","42848","49281","57726","171550","69189","47108","25128","32417","33069","38033","44550","167882","74909","51002"
"Bangladesh","ASIA","Southern Asia","881617","934735","987853","1062270","1345546","1422179","2115408","2906338","476097","503989","531907","572146","710548","751741","1093978","1503005","405520","430746","455946","490124","634998","670438","1021430","1403333"
"Bhutan","ASIA","Southern Asia","23807","27972","32137","40279","48420","51106","53612","55705","19409","22804","26200","32742","39283","43396","45524","47301","4398","5168","5937","7537","9137","7710","8088","8404"
"India","ASIA","Southern Asia","7212791","6836861","6391543","5954999","5601237","5252296","4929816","4796255","3718790","3520808","3289735","3007075","2688107","2418270","2179234","2059115","3494001","3316053","3101808","2947924","2913130","2834026","2750582","2737140"
"Iran (Islamic Republic of)","ASIA","Southern Asia","4291601","2937668","2476469","2552206","2722397","2729939","2797235","3840654","2369093","1612428","1365390","1401736","1490419","1487403","1517518","1842260","1922508","1325240","1111079","1150470","1231978","1242536","1279717","1998394"
"Maldives","ASIA","Southern Asia","8689","18510","27092","45045","54659","64273","70079","75099","4777","9243","14907","27079","41712","56345","61437","65838","3912","9267","12185","17966","12947","7928","8642","9261"
"Nepal","ASIA","Southern Asia","429974","690225","717900","680729","581889","509471","487564","470719","125966","217088","241959","235852","191167","156361","146930","141854","304008","473137","475941","444877","390722","353110","340634","328865"
"Pakistan","ASIA","Southern Asia","6208204","3669308","4181912","3174558","3943681","3506520","3276580","4175958","3264380","1951223","2249960","1710343","2075512","1845470","1812804","2166907","2943824","1718085","1931952","1464215","1868169","1661050","1463776","2009051"
"Sri Lanka","ASIA","Southern Asia","41561","40841","40132","39526","38959","39706","40254","40698","23423","22689","21971","21318","20694","20745","21196","21430","18138","18152","18161","18208","18265","18961","19058","19268"
"Brunei Darussalam","ASIA","South-Eastern Asia","73200","84748","96296","98441","100587","102733","111959","119933","41856","47832","53807","55265","56723","58181","63407","67923","31344","36916","42489","43176","43864","44552","48552","52010"
"Cambodia","ASIA","South-Eastern Asia","38375","92230","146085","114096","82028","73962","79341","83925","19084","45361","71638","57545","43412","39854","42730","45199","19291","46869","74447","56551","38616","34108","36611","38726"
